timecode,text
00:00:00,"Muito boa tarde a todos os nossos espectadores, os espectadores do Metrópoles, é com muito prazer que eu tô aqui hoje fazendo uma entrevista com o presidente da república e candidato a reeleição presidente Jair Bolsonaro há cinco dias do dia D."
00:00:18,"Eu quero aproveitar também pra poder lembrar que a gente fez o mesmo convite ao ex-presidente Lula que também é candidato e o espaço continua aberto se ele assim o desejar. Presidente, muito obrigada no tempo do senhor e muito obrigada por essa entrevista."
00:00:36,"Obrigado pela oportunidade. Eu espero poder ser útil pra todos vocês. Muito obrigada. Presidente, eu começo perguntando pro senhor o candidato que é adversário do senhor terminou o primeiro turno com seis milhões de votos de vantagem."
00:00:51,"O senhor acha que tem condições de reverter essa vantagem até o domingo? E como é que o senhor faria isso? Primeiro alguns milhões de votos foram em função das pesquisas mentirosas. Como foram mentirosas em dois mil e dezoito. Eu acho que essa vantagem não terá mais. Também tem a questão da"
00:01:09,"dos votos a gente chama de abstenções são pessoas que não vão votar isso é bem comum no segundo turno porque no primeiro turno há um maior engajamento os candidatos deputados federal e estadual que levam os leitores mais pobres inclusive eh para as urnas. Isso é uma outra coisa que o outro lado perde. Também a nosso favor"
00:01:29,"nós tivemos uma participação muito ativa, né? Eh nos debates que viraram sabatinas pela ausência deles. Continuamos andando por todo o Brasil. E a nossa dita militância é uma militância consciente. Sabe realmente o que quer e tem trabalhado nesse sentido. Sem contar"
00:01:48,"Que temos um apoio enorme em vários setores da sociedade como por exemplo os evangélicos, os católicos cresceu muito também, o pessoal do agronegócio é quase cem por cento conosco, a turma da segurança das Forças Armadas"
00:02:03,"As pessoas que se preocupam agora e cada vez mais entendem do risco que é perdermos a nossa liberdade então esse somatório de coisas nos dá uma uma certeza praticamente né? Que o resultado será diferente no próximo dia trinta."
00:02:20,"O senhor então, o senhor está reforçando aqui que não acredita nas pesquisas, o senhor continua achando que as pesquisas são mentirosas? O senhor está se valendo de trekings diários pra ter uma noção de como é que está o desempenho do senhor? Ou o senhor não quer nem saber de novo. E o pessoal passa Biostrex e a gente está num empate técnico, né?"
00:02:39,"Eh mas eu sempre digo não podemos confiar em pesquisa. Por coincidentemente todas pesquisas jogam contra mim desde dois mil e dezoito. E não foi diferente agora."
00:02:53,"Os maiores institutos davam vitória por outro lado no primeiro turno. Isso não aconteceu. sabemos, tem muita gente que vota em quem está ganhando. Ou então em quem está ganhando pra que não haja segundo turno. Então isso eh deixa ele existir agora por ocasião segundo turno."
00:03:09,"E o que eu estou vendo na militância é nossa. A participação está sendo muito mais ativa. E temos continuado a trabalhar andando por todo o Brasil. Os mais ainda. Nós tivemos estamos tendo agora um engajamento explícito de governadores como de São Paulo."
00:03:27,"Minas Gerais, Rio de Janeiro, Goiás, Paraná, Mato Grosso, Amazonas, os candidatos no Rio Grande do Sul em Santa Catarina. Então, e além de prefeitos"
00:03:40,"Já fiz reuniões com mais de seiscentos prefeitos em Minas Gerais. Fizeram uma reunião aqui com quase todos os prefeitos de Goiás. Em todas as minhas andanças pelo Brasil sempre é o efetivo enorme de prefeitos e vereadores nos esperando. E querem estar conosco por quê?"
00:03:56,"Porque eles sabem o que aconteceu nos últimos dois anos. Nós mandamos recurso para os municípios. E tanto é verdade que há dois anos você não ouve falar em atraso de pagamento do servidor estadual ou municipal. em parcelamento de décimo terceiro."
00:04:12,"Ou seja, a nossa política de menos Brasília, mais Brasil tem dado certo. E eles querem que continue dessa forma. Fiquei vinte e oito anos dentro do parlamento, era muito comum aqui no passado você assistir e prefeitos com pires na mão mendigando recursos junto ao presidente da república."
00:04:30,"isso deixou de existir. Por conta do orçamento secreto? Olha, vocês vocês teimam na palavra orçamento secreto. Primeiro eu vetei, tá? Foi derrubado o veto. O orçamento não é secreto. O que é secreto é o nome dos parlamentares que destino emendas. e até pra mim"
00:04:49,"passou a ser ser secreto esse nome. Dizem que eu compro voto com o orçamento secreto. Se eu comprasse votos com orçamento secreto, coisa que eu jamais faria, mas se comprasse não daria recurso para deputado do PT, PCdoB e PSOL. E nós já temos uma relação de desses parlamentares que usaram desse orçamento"
00:05:09,"O ano passado estão usando no corrente ano também. Então não é verdade dizer que que o orçamento secreto também eu cumpro votos com isso. Repito se eu tivesse comprando votos não daria dinheiro para deputado do PT. Até no último debate aí com o Lula eu falei isso e"
00:05:26,"Mostrei ali uma relação de treze deputado do PT que fizeram urso desse orçamento. Agora esse tal orçamento RP nove que alguns chamam de secreto né? Tirou o poder de mim muito pelo contrário. No passado eu liberava emendas né?"
00:05:42,"Ah essas esses orçamentários de bancada etc. Agora passou a ser impositiva. E o dono da caneta, o dono de da atualmente dezesseis bilhões de reais é exatamente o relator."
00:05:55,"O o senhor se reelegendo o senhor pretende mudar a relação com as coisas acontecem nessa nesse fluxo aí do executivo com o legislativo esse envio desse dessas verbas eh via indicação"
00:06:11,"Para os municípios o senhor acha que diante de todo o desgaste que houve a partir da polêmica do orçamento secreto o senhor"
00:06:20,"Vai pretende fazer algum tipo de movimento político para alterar? Olha, esse tal orçamento secreto, a origem dele foi Rodrigo Maia, presidente da câmara. Como ele não não teve cargos, bancos oficiais, estatais comigo"
00:06:38,"E ele queria o poder, o poder aqui em Brasília e grande parte é traduzido por recursos. Tá? E daí criou-se esse orçamento. E eu vetei deixar bem claro. Se eu fosse parceiro não teria vetado. E na derrubada de veto deputado e senador do PT votaram pra derrubar o veto."
00:06:57,"Ou seja, os verdadeiros donos do orçamento secreto não sou eu. É o parlamento brasileiro. Com o novo parlamento ficou muito mais pro centro de direita. Eu pretendo negociar o ano que vem. Se eu for reeleito obviamente. a extinção desse dito orçamento secreto."
00:07:16,"É um desgaste pra todo mundo e quem está pagando a conta sou eu. Eu não tenho acesso a isso. Eu queria ser dono desse orçamento secreto. Prefeito, quando o senhor diz alterar, em que termos o senhor proporia um com o parlamento, né? Até que ponto nós podemos discutir quem vai"
00:07:33,"liberar esses recursos. No momento é uma pessoa, é um deputado federal um ano, um senador no outro que tem mais poder do que eu. O meu orçamento é completamente engessado. Hoje em dia um deputado federal ou senador passou a ser o dono da função mais importante do Brasil. não é justo"
00:07:53,"Porque você se você procura lá tem a tal da Lai, né? Não procuram via Laipo Lageas, tem obrigação de responder isso daí. Vocês vão ver certos nomes enviando duzentos, trezentos, quatrocentos, quinhentos milhões pro seu estado. Isso não é justo. E tem parlamentar"
00:08:10,"Mandando um, dois, três, quatro, cinco milhões. Não sabemos pra onde vai ao certo esse recurso, vai pra obra tal e tal município. A CGU faz o acompanhamento. Essa última operação no Maranhão quem levantou a bola pra Polícia Federal foi a"
00:08:26,"Se bem que não houve desvio de recurso, porque ao plotar pra onde iria os recursos, a CGU acionou a Polícia Federal e fizeram uma operação preventiva. então ah o senhor vai fazer algum tipo de movimento no sentido de distribuir o poder"
00:08:45,"Olha eu não posso continuar continuar perdendo poderes. Humrum. No tocante a isso. Os parlamentares já têm quinze milhões por ano cada um, né? Natal das emendas impositivas. Não pode, um pelo outro tem mais quinze milhões. Eu acredito."
00:09:02,"Obviamente tem muito recurso bem direcionado. E como é que não gostaria de perder o poder como perdi? Perfeito, como é que o senhor puxaria o poder pra si nesse caso? Olha, buscando alteração na feitura do orçamento do ano que vem."
00:09:16,"Mas o senhor tem algum tipo de não. De reduzir esse valor, passar uma parte pra mim. Se não for possível, eu vou pro veto. Creio que vai a derrubada do veto vai ser mais difícil pelo perfil do novo parlamento. Perfeito. O senhor está se sentindo"
00:09:34,"é é repito aqui caso o senhor seja reeleito. O senhor está se sentindo mais confortável? Vai se sentir mais confortável num congresso em que a câmara por exemplo elegeu aí a noventa e nove parlamentares do partido do senhor? O senhor acha que vai ter mais tranquilidade eh nesse contexto de apoiamento? Não só pelo"
00:09:54,"Fio do parlamento bem como pelo conhecimento que a gente adquiriu ao longo desses quatro anos. Porque nada é perfeito, né? Tivemos algumas falhas e elas serão corrigidas obviamente. Você deve acompanhar, deve ter acompanhado algum tempo como é que é o parlamento."
00:10:12,"geralmente cada partido tinha um narco do poder executivo, era ministério estatais ou bancos oficiais. Isso acabou. Você pega a Dani da Caixa Econômica. Pergunta se algum diretor foi tem indicação de algum partido político. Não tem. A mesma coisa BNDES. Banco do Brasil. Estatais"
00:10:31,"Estão dando lucros enormes estatais. Por quê? A indicação política levava a corrupção. Os ministérios com menos recurso está funcionando melhor também. você sabe né? Vários ministros meu ou secretários disputaram eleições e agora são."
00:10:50,"Senadores, deputados federais. Se eleger. Talvez um governador em São Paulo, com toda a certeza, o Tarcísio, outros ministros, como por exemplo, do governo Lula deixaram o governo e foram pra cadeia. Há uma diferença enorme entre nós. Hoje eu vi na mídia escrita, né?"
00:11:06,"Que talvez a a Simone Tebe vá para o Ministério da Agricultura do Lula. Isso, isso pro senhor o que significa? Não, eu gostaria que ele indicasse mais nomes na última debate eu pressionei quem será seu ministro da economia. Ele não disse."
00:11:22,"Está uma caixa preta. Até porque se ele começar a revelar nomes ele vai ter problema ofereceu o mesmo cargo pra mais de duas pessoas. Perfeito. O senhor fala eh com muito orgulho do dos ministros que compõe aí o primeiro escalão."
00:11:38,"Mas a gente tem um caso eh dramático do Ministério da Educação que tem não apresentou bons resultados. A gente no ministério que é muito importante pra população eh o seu pelo contrário o senhor coleciona ali alguns escândalos. Como é que o senhor explica o o"
00:11:57,"Há tantas trocas no Ministério da Educação e especialmente tudo aquilo que se descobriu em relação ao ministro que foi afastado. Olha, eu não não hesito em trocar. Troquei quatro vezes o presidente da Petrobras. O último agora deu certo."
00:12:15,"E não há nenhuma violência em cima dele, né? que eu sempre quis é transparência. educação. Teve um ministro que vocês botam como ministro e ele se quer assumiu. Né? Estamos no terceiro. busca acertar."
00:12:32,"é o ministério extremamente aparelhado. Você pode ver, quando você vai buscar números da educação, estamos lá embaixo, por exemplo, naquela prova do PISA. É uma prova internacional onde setenta países eh participam, estão nos últimos lugares. no quesito ciência"
00:12:51,"interpretação de texto e matemática. É uma herança do Paulo Freire, né? Do Fernando Haddad, ministro da da Educação, da ideologia de gênero que fez que se fez pesada lá dentro da questão da aprovação automática eh lá atrás eh"
00:13:10,"Pesa negativamente no tocante à educação. Aquilo passou a ser um feudo da esquerda, né? Fábrica de militância. Desculpa. Tem jornalista que vai me entrevistar e não sei se não se prepara, mas não tem conhecimento do que vai perguntar pra gente. Então a gente vê que há uma deficiência na formação."
00:13:28,"Lá em cima também em especial. Agora o ensino básico o mais importante Desde quando assumimos, investimos nisso. O ponto mais importante é a criação da Secretaria de Alfabetização. Não dispensamos os professores na ponta da linha. Mas você vê, durante a pandemia, ficaram dois anos fechado."
00:13:47,"eu falei que tinha que continuar funcionando. E no tocante a alfabetização não dispensamos os professores mas tem um aplicativo que está fazendo a diferença. Tem colaborado e muito alfabetização de criança. presidente. Conhecido como grafogame. Tá?"
