timecode,text
00:09:40,"Faça deles façam junta a agricultura familiar. ela pega é dele."
00:09:58,"E se ele fizer isso a inspetoria dali fica com seus filhos e netos. E ele passa a cuidar daquilo que a esquerda detesta. Chama-se propriedade privada. Turma da esquerda, PT, PCdoB, PSOL não querem"
00:10:17,"Não admite a propriedade privada. Deixo claro: história por ocasião da Constituinte, Lula tinha duas coisas para não assinar a constituinte. Uma que ele queria que os militares perdessem poder."
00:10:34,"Queria militar como se fosse uma guarda pretoriana. E o outro, outra coisa importante: ele não admitia a propriedade privada como foi colocada na Constituição. A esquerda sempre relativizou a propriedade privada."
00:10:51,"pode ver o PT não apresentou plano de governo proposta é a questão do não direito à herança. A pessoa morre não fica pros pais, não fica pros filhos. Fica pro estado a sua propriedade. E eles não apresentavam o propósito de governo porque tem muita"
00:11:10,"Coisa que eles querem colocar no Brasil e não querem ter um compromisso agora ao botar no papel lá na frente e voltar atrás. fizemos trouxe dignidade. Vamos continuar com essa proposta. nos interessa MST"
00:11:29,"Para simplesmente ao seu lado pessoas que não vão participar do programa de reforma agrária. Vamos ter mão de servir como se fosse do exército do Stédile José Rainha."
00:11:47,"este versão onde nós acertamos tenho certeza, vamos ver a votação lá. A as sessões de mal votação nossa foi dentro de antigo assentamento do MST. Ninguém obrigou a votar em mim, ninguém foi lá pra cobrar voto. Não teve ninguém nosso lá. Foi um reconhecimento."
00:12:07,"E não existe satisfação maior. acampamento esse assentamento a gente vê a bandeira vermelha do MST e subir a nossa bandeira"
00:12:22,"conseguiram com eles, conseguiram a sua casa de alforria. e nós fazemos esse pessoal para o nosso lado"
00:12:41,"para o lado do bem trabalhando por eles tem outros assentamentos isolados por aí. De forma aberta esse é o primeiro. E não vim aqui fazer promessa. Já viemos aqui como vocês sabem mostrando o que fizeram. Louva a coragem de vocês"
00:13:01,"De público essa posição de independência sempre tenho dito que se algo mais importante que nossa própria vida é a nossa liberdade homem e uma mulher sem liberdade vivem"
00:13:19,"Então agora meus cumprimentos a todos vocês parabéns por lutarem pelos seus direitos e por essa carta de alforria. é nosso. o Brasil é verde e amarelo."
00:13:37,"A nossa bandeira nós queremos paz, progresso, desenvolvimento"
00:13:49,"a nossa bandeira vermelha a nossa bandeira jamais será vermelha Esse é um país fantástico"
00:14:08,"Ninguém tem o que nós temos porque nós estávamos errando escolhas erradas Não vamos obviamente repetir péssimas escolhas agora dia trinta. Ninguém quer"
00:14:26,"Da corrupção, prazo de respeito. Ninguém quer a volta daqueles que não defendem a família brasileira. não queremos"
00:14:41,"De drogas no Brasil. Nós respeitamos a vida desde a sua concepção. Nós somos brasileiros."
00:14:51,"mais bonito do mundo. Não foge à luta. E não é por um partido ou por uma pessoa. É bom o ideal do seu povo."
00:15:10,"Nós nascemos a estrela da liberdade. E assim nós continuaremos. Assim como Deus me deu uma segunda vida em Juiz de Fora. Amém. Pra me colocar na presidência certeza que ele continuará."
00:16:26,"Está chegando o presidente do povo! É vinte e dois! É Bolsonaro! é o capitão do Pablo! Soltamos o capitão já tá no CD aí."
00:16:46,"Jair Messias Bolsonaro. Olha o Bolsonaro aí! Oscar presidente. Deixa eu ouvir o. Sete véi. Sete."
00:17:05,"oito presidente do Brasil tá aqui em cima do trio. Força barulho"
00:17:25,"Bota a música do capitão bota a música do capitão aí bora vamos deixar essa bandeira gente Bota a música do capitão aí."
